task_index,instruction,scoring_points
task_3,"The cloud service system, cloudbed-2, experienced two failures within the time range of March 20, 2022, from 08:30 to 09:00. The exact component that caused these failures is currently unknown. You are tasked with identifying the root cause component.","The 1-th predicted root cause component is recommendationservice2-0
The 2-th predicted root cause component is node-6
"
task_3,"The cloud service system, cloudbed-2, experienced two failures within the time range of March 20, 2022, from 08:30 to 09:00. The specific component responsible for these failures is currently unknown. Please identify the root cause component.","The 1-th predicted root cause component is recommendationservice2-0
The 2-th predicted root cause component is node-6
"
task_2,"The cloud service system, cloudbed-2, experienced a failure within the time range of March 20, 2022, from 09:00 to 09:30. The exact reason for this failure is currently unknown. Please identify the root cause reason.","The only predicted root cause reason is container memory load
"
task_6,"The cloud service system, cloudbed-2, experienced a single failure within the time range of March 20, 2022, from 09:30 to 10:00. The specific component that caused the failure and the underlying reason for this incident are currently unknown. You are tasked with identifying the root cause component and the root cause reason.","The only predicted root cause component is productcatalogservice
The only predicted root cause reason is container network packet corruption
"
task_3,"The cloud service system, cloudbed-2, experienced two failures within the time range of March 20, 2022, from 10:30 to 11:00. The specific component responsible for the root cause of these failures is currently unknown. Please identify the root cause component.","The 1-th predicted root cause component is currencyservice-0
The 2-th predicted root cause component is node-4
"
task_6,"The cloud service system, cloudbed-2, may have experienced two failures within the time range of March 20, 2022, from 10:30 to 11:00. The exact components affected by these failures and the underlying reasons are currently unknown. You are tasked with identifying the root cause component and the root cause reason.","The 1-th predicted root cause component is currencyservice-0
The 1-th predicted root cause reason is container read I/O load
The 2-th predicted root cause component is node-4
The 2-th predicted root cause reason is node disk read I/O consumption
"
task_6,"The cloud service system, cloudbed-2, encountered two failures within the time range of March 20, 2022, from 11:00 to 11:30. The exact components affected by these failures and the underlying reasons are currently unknown. Your task is to identify the root cause component and the root cause reason.","The 1-th predicted root cause component is recommendationservice2-0
The 1-th predicted root cause reason is container CPU load
The 2-th predicted root cause component is frontend-0
The 2-th predicted root cause reason is container CPU load
"
task_6,"During the time range of March 20, 2022, from 11:00 to 11:30, the cloud service system, cloudbed-2, experienced two failures. The components affected by these failures and the underlying reasons are currently unknown. You are tasked with identifying the root cause component and the root cause reason for these failures.","The 1-th predicted root cause component is recommendationservice2-0
The 1-th predicted root cause reason is container CPU load
The 2-th predicted root cause component is frontend-0
The 2-th predicted root cause reason is container CPU load
"
task_1,"The cloud service system, cloudbed-2, experienced a failure within the time range of March 20, 2022, from 11:30 to 12:00. The exact time of the root cause occurrence is unknown, which complicates the diagnosis process. Please identify the root cause occurrence datetime.","The only root cause occurrence time is within 1 minutes (i.e., <=1min) of 2022-03-20 11:52:28
"
task_5,"The cloud service system, cloudbed-2, may have experienced a failure within the time range of March 20, 2022, from 12:00 to 12:30. The exact time of the root cause occurrence and the affected component are currently unknown. You are tasked with identifying the root cause occurrence datetime and the root cause component.","The only root cause occurrence time is within 1 minutes (i.e., <=1min) of 2022-03-20 12:07:05
The only predicted root cause component is currencyservice
"
