timestamp,cmdb_id,kpi_name,value,normalized_value
1614852000,Tomcat03,Tomcat-Sessions_7441--UOCP_SESSIONRejectedSessions,0.0,0.0
1614852000,Tomcat03,Tomcat-Sessions_7441--log.Home_IS_UNDEFINED_SESSIONActiveCounter,0.0,0.0
1614852000,Tomcat03,Tomcat-Sessions_7441--UOCP_SESSIONKeepaliveCounter,0.0,0.0
1614852000,Tomcat03,Tomcat-Sessions_7441--log.Home_IS_UNDEFINED_SESSIONRejectedSessions,0.0,0.0
1614852000,Tomcat03,Tomcat-Sessions_7441--_SESSIONRejectedSessions,0.0,0.0
1614852000,Tomcat03,Tomcat-Sessions_7441--_SESSIONKeepaliveCounter,0.0,0.0
1614852000,Tomcat03,Tomcat-Sessions_7441--_SESSIONActiveCounter,0.0,0.0
1614852000,Tomcat03,"Tomcat-Requests_7441-""http-nio-8003""_RequestCountRequestInfo",98208.0,75.36605580624366
1614852000,Tomcat03,"Tomcat-Requests_7441-""http-nio-8003""_ProcessingTimeRequestInfo",64780683.0,93.77402753175262
1614852000,Tomcat03,"Tomcat-Requests_7441-""http-nio-8003""_MaxTimeRequestInfo",55607.0,14.953464545119626
1614852000,Tomcat03,Tomcat-Sessions_7441--UOCP_SESSIONActiveCounter,0.0,0.0
1614852000,Tomcat03,Tomcat-Sessions_7441--log.Home_IS_UNDEFINED_SESSIONKeepaliveCounter,0.0,0.0
1614852000,Tomcat03,OSLinux-OSLinux_MEMORY_MEMORY_MEMUsedMemPerc,80.0,60.5263157894737
1614852000,Tomcat03,OSLinux-OSLinux_LOCALDISK_LOCALDISK-sda_DSKBps,0.0,0.0
1614852000,Tomcat03,Tomcat-Sessions_7441--logHome_IS_UNDEFINED_SESSIONActiveCounter,0.0,0.0
1614852000,Tomcat03,"Tomcat-Requests_7441-""http-nio-8003""_ErrorCountRequestInfo",0.0,0.0
1614852000,Tomcat03,OSLinux-OSLinux_ZABBIX_Host_Uptime,6050576.0,75.03445400535111
1614852000,Tomcat03,OSLinux-OSLinux_PROCESS_zabbix_PROCPPCount,3.0,0.0
1614852000,Tomcat03,OSLinux-OSLinux_PROCESS_PROCESS_PROCPPMem,58.0,0.0
1614852000,Tomcat03,OSLinux-OSLinux_PROCESS_PROCESS_PROCNoZombies,1.0,0.0
